Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,LATITUDE,LONGTITUED,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,CRASH_DATE,CRASH_TIME,DateTime,grav_min,grav_max,count,gravMerged,severity
2.013E+11,2013,5,14,1600,1,2,3,1,3,53,"04, CHAMP DE FOIRE ( AVE",,nan,nan,10,4,,,,2,4,,,0,1,1,0,120,1,0,1,0,5/14/2013,16:00,5/14/2013,1,2,2,0,0
2.016E+11,2016,2,7,1625,1,2,1,1,6,184,"2713, SAINT-ROMAIN (RUE",M,46.05519,4.026,420,4,0,,,2,2,,,0,1,1,0,46,1,0,1,99,2/7/2016,16:25,2/7/2016,3,3,1,1,1
2.016E+11,2016,2,11,1325,1,2,1,1,6,31,"0, ALLENDE (AVENUE SALVA",,nan,nan,930,3,0,,,2,0,,,0,2,1,240,180,1,0,1,99,2/11/2016,13:25,2/11/2016,1,3,2,1,1
2.014E+11,2014,9,1,1500,1,2,1,1,6,506,boulevard du 11 novembre,M,0,0,330,4,0,,,1,1,0,0,0,1,2,0,72,1,0,1,0,9/1/2014,15:00,9/1/2014,2,3,2,1,1
2.014E+11,2014,4,3,1650,1,2,1,9,7,122,RUE DU MARECHAL JUIN,,nan,nan,370,4,0,,,0,0,,,0,0,0,0,0,0,0,1,0,4/3/2014,16:50,4/3/2014,2,2,1,0,0
2.014E+11,2014,1,15,2015,5,2,3,1,1,83,"960, SOLEIL (PROMENADE D",,nan,nan,60,4,0,,,2,2,,,0,1,1,0,40,1,0,0,99,1/15/2014,20:15,1/15/2014,1,2,2,0,0
2.013E+11,2013,11,20,1240,1,1,1,1,6,643,"37, CHAPET ROUTE DE",,nan,nan,780,4,0,,,2,2,,,0,1,1,0,70,1,0,1,0,11/20/2013,12:40,11/20/2013,1,3,2,1,1
2.013E+11,2013,5,3,1400,1,1,1,1,1,232,"., KERC' HOATCHEMIN DE",M,47.98116,-4.0464,290,4,0,,,2,1,0,,0,2,3,0,0,1,0,1,99,5/3/2013,14:00,5/3/2013,1,2,3,0,0
2.013E+11,2013,2,27,1605,1,2,1,1,6,85,"11, LANSECOT (RUE)",,nan,nan,870,4,0,,,1,1,,,0,1,1,0,30,1,0,1,0,2/27/2013,16:05,2/27/2013,1,3,2,1,1
2.013E+11,2013,12,24,1800,3,2,1,1,6,159,"40, AMIENS (D')",,nan,nan,600,4,0,,,2,2,,,0,1,1,0,0,1,0,1,99,12/24/2013,18:00,12/24/2013,1,3,2,1,1
2.016E+11,2016,5,11,920,1,1,1,2,6,5,A52-Sens Pont de l'Etoil,M,0,0,130,1,52,,,1,2,21,300,0,1,2,10,70,2,2,1,0,5/11/2016,9:20,5/11/2016,2,2,1,0,0
2.013E+11,2013,12,12,1600,1,2,1,8,6,233,rue general Leclerc,M,48.51,3.888,100,3,373,,,2,2,9,0,0,0,1,,70,7,0,1,0,12/12/2013,16:00,12/12/2013,3,3,1,1,1
2.013E+11,2013,9,22,1000,1,2,1,1,3,44,154 RTE DE CHATELLERAULT,M,46.8049,1.69907,360,4,,,,2,2,,,2,1,3,0,70,1,0,1,99,9/22/2013,10:00,9/22/2013,1,3,2,1,1
2.015E+11,2015,10,29,200,5,1,1,1,2,679,RD36,M,48.737,2.102,910,3,36,,,2,2,11,0,0,1,2,0,50,1,5,1,99,10/29/2015,2:00,10/29/2015,2,3,3,2,1
2.013E+11,2013,1,8,1315,1,1,1,8,3,263,route des Tripaudieres,M,47.266,1.92876,180,4,0,,,2,2,0,0,0,0,1,0,60,1,0,1,99,1/8/2013,13:15,1/8/2013,2,2,2,0,0
2.014E+11,2014,1,7,1800,1,1,1,1,5,829,,M,50.04768,2.90743,620,3,917,,,2,0,0,0,0,0,1,0,77,1,0,1,99,1/7/2014,18:00,1/7/2014,2,3,4,2,1
2.013E+11,2013,9,4,845,2,2,1,1,6,117,RHIN DANUBE ( AVENUE ),,nan,nan,130,4,,,,1,1,,,0,1,3,0,35,1,0,1,0,9/4/2013,8:45,9/4/2013,1,2,2,0,0
2.014E+11,2014,7,8,900,1,1,1,1,1,126,,M,47.99423,-1.80006,350,3,776,,,2,2,2,326,0,2,1,0,74,1,0,1,99,7/8/2014,9:00,7/8/2014,1,3,2,1,1
2.014E+11,2014,12,26,1230,1,2,1,1,6,118,"101, BOULEVARD NEY",,nan,nan,750,4,0,,,2,1,,,0,1,1,10,50,1,0,1,0,12/26/2014,12:30,12/26/2014,1,2,2,0,0
2.014E+11,2014,9,9,2300,5,2,2,1,3,27,STE ANNE MONTEE,,nan,nan,60,4,0,,,2,2,,,0,0,1,0,0,1,0,1,0,9/9/2014,23:00,9/9/2014,1,2,3,0,0
2.016E+11,2016,12,2,1855,1,2,1,1,1,190,MONTILLY (ROUTE DE),,nan,nan,30,3,0,,,2,2,16,0,0,1,2,0,65,1,0,1,99,12/2/2016,18:55,12/2/2016,1,3,2,1,1
2.014E+11,2014,12,17,2100,5,2,1,2,2,202,PRES (DES),,nan,nan,690,4,0,,,2,1,0,1,0,1,1,0,26,2,0,1,99,12/17/2014,21:00,12/17/2014,1,2,4,0,0
2.015E+11,2015,7,27,950,1,2,1,1,5,172,"SANS, LIBERTE (AVENUE DE",M,43.609,3.85479,340,4,,,,2,3,,,0,1,1,0,100,1,0,1,0,7/27/2015,9:50,7/27/2015,1,2,4,0,0
2.016E+11,2016,9,20,900,1,1,1,1,4,71,A51-Sens Aix en Provence,M,0,0,130,1,51,,,3,3,2,480,0,1,1,25,35,1,0,1,99,9/20/2016,9:00,9/20/2016,1,2,3,0,0
2.015E+11,2015,1,19,900,1,1,1,9,4,263,RN 25,M,50.2664,2.70606,620,2,25,,,2,2,,,0,1,1,0,0,7,5,1,99,1/19/2015,9:00,1/19/2015,2,2,3,0,0
2.014E+11,2014,8,17,2250,5,1,1,1,3,483,RD 304,,nan,nan,640,3,304,,,2,2,0,490,0,0,3,0,0,1,0,1,0,8/17/2014,22:50,8/17/2014,1,3,2,1,1
2.013E+11,2013,8,21,2240,5,2,1,1,6,73,VERSAILLES (AV DE),,nan,nan,940,2,,,,3,0,,,0,1,1,0,0,1,0,1,0,8/21/2013,22:40,8/21/2013,2,2,1,0,0
2.015E+11,2015,9,7,1700,1,2,1,1,6,252,6 MAIL OUEST,M,48.17432,2.25329,450,3,2152,,,1,2,19,275,0,1,1,0,73,1,0,1,99,9/7/2015,17:00,9/7/2015,1,3,2,1,1
2.016E+11,2016,1,9,722,4,2,1,1,6,194,"147/149, NANTES (AVENUE",M,46.58327,0.32999,860,4,0,,,2,2,,,0,3,2,0,94,1,0,4,99,1/9/2016,7:22,1/9/2016,1,3,7,2,1
2.016E+11,2016,12,2,1400,1,2,5,1,6,33,"1, SAINT-AMAND (AVENUE D",M,47.07134,2.38847,180,4,0,,,2,3,,,0,1,2,0,0,1,5,0,99,12/2/2016,14:00,12/2/2016,1,3,2,1,1
2.013E+11,2013,10,2,1130,1,2,1,1,2,55,RUE SAINTE BARBE,M,43.30091,5.37418,130,4,0,,,1,2,,,0,0,0,0,0,1,0,1,0,10/2/2013,11:30,10/2/2013,1,2,2,0,0
2.014E+11,2014,6,4,1600,1,2,6,1,3,360,RUE DE LA  FONTENELLE,M,48.49347,-2.73765,220,4,,,,2,2,,,2,1,1,0,0,1,5,1,99,6/4/2014,16:00,6/4/2014,1,2,3,0,0
2.014E+11,2014,2,13,815,2,2,1,3,6,223,"1, ALLENDE (RUE SALVADOR",,nan,nan,910,4,0,,,2,2,0,0,0,1,1,0,0,2,0,1,3,2/13/2014,8:15,2/13/2014,1,2,2,0,0
2.015E+11,2015,1,23,1700,1,2,2,1,6,117,"64, AVENUE DE WAGRAM",,nan,nan,750,4,0,,,1,1,,,0,1,1,0,0,1,0,0,0,1/23/2015,17:00,1/23/2015,1,2,2,0,0
2.014E+11,2014,9,24,1230,1,2,1,1,6,46,"6/12, PIERRE BROSSOLETTE",,nan,nan,920,3,906,,,2,4,,,0,1,1,0,90,1,0,1,99,9/24/2014,12:30,9/24/2014,1,2,4,0,0
2.016E+11,2016,11,24,1808,5,2,7,1,3,120,RUE MENDELSSOHN,M,48.8543,2.41302,750,4,,,,1,2,,,0,1,1,100,100,1,0,1,99,11/24/2016,18:08,11/24/2016,1,2,2,0,0
2.015E+11,2015,5,27,1505,1,2,2,1,3,329,RUE ERNEST BICHAT,M,48.5924,6.50906,540,4,0,,,2,2,,,0,0,0,0,0,0,0,1,0,5/27/2015,15:05,5/27/2015,1,2,3,0,0
2.014E+11,2014,7,21,2000,1,1,1,1,3,255,,M,47.742,0.803,410,4,7,,,2,2,0,0,0,1,2,43,0,1,0,1,0,7/21/2014,20:00,7/21/2014,1,3,2,1,1
2.013E+11,2013,3,21,1640,1,2,1,1,2,113,Zone de Chantemerle,M,45.61924,0.10631,160,3,910,,,2,2,10,410,0,2,1,25,140,1,0,1,99,3/21/2013,16:40,3/21/2013,1,2,2,0,0
2.016E+11,2016,6,10,2110,1,1,1,1,5,114,ROUTE NATIONALE 6,M,48.67663,2.49838,910,2,6,,,3,4,6,500,0,1,1,0,70,1,0,1,99,6/10/2016,21:10,6/10/2016,1,2,8,0,0
2.014E+11,2014,5,14,1740,1,2,7,1,1,116,"1, RUE JEAN DE LA FONTAI",,nan,nan,750,4,0,,,0,2,,,0,1,0,0,0,1,5,1,99,5/14/2014,17:40,5/14/2014,1,2,2,0,0
2.016E+11,2016,5,14,2050,2,1,1,1,7,49,Autoroute A.35,,nan,nan,670,1,35,,,3,2,315,600,0,1,1,15,105,1,0,3,99,5/14/2016,20:50,5/14/2016,3,3,1,1,1
2.016E+11,2016,1,19,2055,5,2,1,1,3,78,AV DE MELUN,M,48.7231,2.44379,940,2,6,,,3,4,19,120,0,1,1,8,70,1,0,1,99,1/19/2016,20:55,1/19/2016,1,3,3,1,1
2.016E+11,2016,10,17,700,5,2,1,1,6,18,"66, VENDOME (AVENUE DE)",M,47.59888,1.32188,410,4,0,,,2,2,,,0,1,1,0,0,1,0,1,99,10/17/2016,7:00,10/17/2016,1,3,2,1,1
2.014E+11,2014,12,28,555,5,2,2,4,6,218,"02, AMOUROUX JUSQU'AUX N",M,45.41378,4.39604,420,4,0,,,2,2,,,0,1,1,0,0,5,0,1,99,12/28/2014,5:55,12/28/2014,2,2,1,0,0
2.016E+11,2016,4,23,430,3,1,1,1,6,534,,M,43.5822,1.73192,310,2,126,,,0,2,25,453,0,1,1,0,60,1,0,1,0,4/23/2016,4:30,4/23/2016,3,3,1,1,1
2.013E+11,2013,2,18,1725,1,2,9,1,1,189,CHATEAU (PLACE),M,43.83879,4.36224,300,4,0,,,0,1,,,0,0,0,0,30,1,0,1,0,2/18/2013,17:25,2/18/2013,1,2,2,0,0
2.014E+11,2014,6,13,1715,1,2,1,1,6,112,QUAI DE BERCY,,nan,nan,750,4,0,,,1,3,,,0,2,1,0,80,1,0,1,99,6/13/2014,17:15,6/13/2014,2,2,1,0,0
2.014E+11,2014,4,11,1615,1,1,1,1,3,585,,M,48.8473,-0.61282,140,3,184,,,2,2,3,370,0,1,1,0,51,1,0,1,0,4/11/2014,16:15,4/11/2014,1,2,2,0,0
2.015E+11,2015,6,20,930,1,1,1,1,6,312,Les Rochereaux,M,45.76653,-0.01196,160,3,939,,,3,2,47,835,0,1,1,0,70,9,0,1,99,6/20/2015,9:30,6/20/2015,3,3,1,1,1
2.014E+11,2014,5,26,2020,1,2,1,2,3,66,COURNEUVE (ROUTE),,nan,nan,930,3,0,,,2,2,0,1,0,1,1,1,1,2,0,1,99,5/26/2014,20:20,5/26/2014,1,2,3,0,0
2.013E+11,2013,9,8,1840,1,2,1,1,7,36,"0, GABRIEL PERI (AVENUE)",,nan,nan,920,4,0,,,2,2,,,0,1,1,0,70,1,0,0,99,9/8/2013,18:40,9/8/2013,2,2,1,0,0
2.013E+11,2013,5,5,610,2,2,1,1,3,51,"9B, RICHARD WALLACE (BOU",,nan,nan,920,4,0,,,2,4,,,0,0,0,0,0,0,0,1,0,5/5/2013,6:10,5/5/2013,1,2,2,0,0
2.013E+11,2013,7,17,1940,1,2,1,1,5,55,"80, BD DE SAINT LOUP",M,43.28246,5.43076,130,4,,,,2,2,,,0,1,1,0,70,1,0,0,0,7/17/2013,19:40,7/17/2013,1,2,3,0,0
2.015E+11,2015,11,6,1350,1,2,1,1,6,555,"15, AV DU COLONEL ROCHE",,nan,nan,310,4,0,,,2,0,,,0,1,1,0,0,1,0,1,0,11/6/2015,13:50,11/6/2015,2,2,1,0,0
2.016E+11,2016,4,19,1430,1,2,2,1,7,115,PLACE HENRI QUEUILLE,M,48.845,2.31066,750,4,,,,2,0,,,0,1,0,0,0,1,5,1,0,4/19/2016,14:30,4/19/2016,3,3,1,1,1
2.014E+11,2014,6,29,1320,1,2,1,1,2,383,AVENUE FELIX FAURE,,nan,nan,690,4,0,,,2,3,,,0,1,1,0,0,1,0,1,0,6/29/2014,13:20,6/29/2014,1,2,3,0,0
2.015E+11,2015,1,28,1225,1,2,1,1,4,87,"227, VERDUN (AVENUE DE)",M,44.1274,4.82208,840,2,7,,,2,2,26,351,0,1,1,0,92,1,0,1,0,1/28/2015,12:25,1/28/2015,1,2,3,0,0
2.013E+11,2013,10,28,2045,3,1,1,1,6,151,,M,45.214,-0.418,330,3,152,,,2,2,0,0,0,2,3,56,0,2,0,3,0,10/28/2013,20:45,10/28/2013,3,3,1,1,1
2.016E+11,2016,12,13,1810,2,2,1,1,6,187,"0, SAINT -CLAUDE (RUE)",M,46.05179,4.0732,420,4,0,,,2,2,,,0,1,1,0,0,1,0,1,99,12/13/2016,18:10,12/13/2016,1,3,2,1,1
2.016E+11,2016,2,17,1142,1,1,1,1,1,302,"959, BADUEL (ROUTE DE)",,nan,nan,973,4,0,,,0,0,,,0,0,0,0,0,0,0,0,0,2/17/2016,11:42,2/17/2016,1,2,2,0,0
2.014E+11,2014,7,29,1415,1,2,1,2,6,291,la brosse,M,0,0,30,3,480,,,2,2,29,650,0,1,2,0,35,2,0,3,99,7/29/2014,14:15,7/29/2014,3,4,2,2,1
2.013E+11,2013,10,9,1630,1,2,1,1,3,137,Rue Jeanne d'Arc,M,0,0,860,9,0,,,2,1,0,0,0,1,1,0,35,1,0,1,0,10/9/2013,16:30,10/9/2013,1,3,2,1,1
2.016E+11,2016,9,23,1755,1,1,1,1,3,603,AUTOROUTE A23,M,50.34077,3.49004,590,1,23,,,3,4,41,400,0,1,1,20,140,1,0,1,99,9/23/2016,17:55,9/23/2016,1,3,2,1,1
2.013E+11,2013,4,30,1100,1,2,1,1,6,71,VAL SEC ( CHEMIN DE ),,nan,nan,130,4,,,,2,2,,,0,0,0,0,70,1,0,0,0,4/30/2013,11:00,4/30/2013,2,2,1,0,0
2.015E+11,2015,6,4,2015,1,1,1,1,1,186,R des étangs de Cocagne,M,0,0,910,4,0,,,2,2,0,0,0,0,2,0,0,1,0,1,0,6/4/2015,20:15,6/4/2015,1,3,2,1,1
2.013E+11,2013,2,19,2005,5,2,1,1,1,120,"268, RUE DE BELLEVILLE",,nan,nan,750,4,0,,,2,0,,,0,2,1,0,0,1,0,1,0,2/19/2013,20:05,2/19/2013,1,2,2,0,0
2.014E+11,2014,5,4,1500,1,1,1,1,6,438,,M,47.7997,3.65988,890,3,965,,,2,0,52,420,0,2,2,0,112,0,0,3,0,5/4/2014,15:00,5/4/2014,3,3,1,1,1
2.013E+11,2013,12,9,1230,1,1,9,1,1,173,,M,46.46,3.92,30,2,79,,,2,2,82,900,0,1,1,0,85,7,3,1,99,12/9/2013,12:30,12/9/2013,1,4,2,1,1
2.013E+11,2013,12,3,930,1,2,1,1,2,55,"138, AVE PIERRE MENDES F",M,43.25489,5.37631,130,4,0,,,1,3,,,0,1,1,0,94,1,0,1,0,12/3/2013,9:30,12/3/2013,1,2,2,0,0
2.016E+11,2016,9,8,40,5,2,7,1,2,108,PLACE CHARLES DE GAULLE,M,48.8741,2.29573,750,4,,,,0,4,,,0,0,0,0,0,0,0,0,0,9/8/2016,0:40,9/8/2016,1,2,4,0,0
2.014E+11,2014,5,17,1700,1,2,1,1,3,75,"1, BRIAND (AVENUE ARISTI",,nan,nan,630,4,0,,,1,3,,,0,1,1,0,140,1,0,1,0,5/17/2014,17:00,5/17/2014,1,2,2,0,0
2.014E+11,2014,6,10,2215,5,2,1,1,6,91,17 route de Gratentour,M,43.72851,1.42224,310,3,77,,,2,2,9,329,0,1,1,0,60,1,0,1,0,6/10/2014,22:15,6/10/2014,2,2,1,0,0
2.015E+11,2015,5,20,2013,1,2,1,1,7,121,"0, BIR-HAKEIM ( RD-PT )",M,47.73919,-3.37969,560,9,0,,,2,3,,,0,1,4,0,0,1,0,1,0,5/20/2015,20:13,5/20/2015,1,2,2,0,0
2.015E+11,2015,12,19,1430,1,2,1,1,3,265,1 rue de la résistance,M,50.03033,1.54432,800,3,190,,,2,2,2,380,0,1,1,0,50,1,0,1,0,12/19/2015,14:30,12/19/2015,1,3,3,2,1
2.015E+11,2015,10,6,1745,1,1,1,8,7,74,CH DE WARSY,M,49.69238,2.63221,800,4,0,,,2,2,,,0,0,1,0,0,2,0,1,99,10/6/2015,17:45,10/6/2015,3,3,1,1,1
2.013E+11,2013,7,1,1710,1,2,3,1,3,129,P DE COUBERTIN/DR CHARCO,M,49.6426,-1.64043,500,4,626,,,2,2,,,0,4,1,0,0,1,0,1,99,7/1/2013,17:10,7/1/2013,1,3,2,1,1
2.014E+11,2014,11,1,1810,2,1,1,1,5,231,RTE DU NEUBOURG,M,49.27609,0.99697,760,3,840,,,2,3,1,70,0,2,2,0,90,2,0,1,0,11/1/2014,18:10,11/1/2014,1,3,3,1,1
2.016E+11,2016,11,5,1800,4,2,6,1,3,19,"., SEBASTOPOL",M,48.40027,-4.46907,290,3,0,,,2,2,,,0,1,1,0,0,1,0,1,0,11/5/2016,18:00,11/5/2016,1,3,2,1,1
2.014E+11,2014,9,30,1000,1,2,2,1,2,109,"46, BOULEVARD HAUSSMANN",,nan,nan,750,4,0,,,1,1,,,0,1,1,0,0,1,0,1,99,9/30/2014,10:00,9/30/2014,1,2,2,0,0
2.013E+11,2013,1,13,130,5,2,1,1,6,259,"158, R GUSTAVE COUTURIER",M,49.7516,0.39899,760,4,0,,,2,2,,,0,2,1,0,83,1,0,1,0,1/13/2013,1:30,1/13/2013,3,3,1,1,1
2.014E+11,2014,6,20,1100,1,2,1,1,7,23,"., CLAUDE TREBIGNAUD (AV",,nan,nan,920,4,0,,,3,2,,,0,0,0,0,0,1,0,1,99,6/20/2014,11:00,6/20/2014,2,2,1,0,0
2.013E+11,2013,8,4,1300,1,1,1,1,7,347,,M,47.00336,4.8537,210,1,6,,,1,3,306,850,0,1,2,50,105,1,3,1,0,8/4/2013,13:00,8/4/2013,3,3,1,1,1
2.015E+11,2015,4,17,1650,1,2,1,1,6,88,ANGLAIS (DU N° 45 AU N°,,nan,nan,60,3,6098,,,3,3,,,0,1,1,0,0,1,0,1,0,4/17/2015,16:50,4/17/2015,1,2,2,0,0
2.013E+11,2013,3,9,230,1,1,1,1,5,873,,M,0,0,620,1,26,,A,3,2,124,450,3,1,1,20,90,2,0,1,0,3/9/2013,2:30,3/9/2013,1,3,3,1,1
2.016E+11,2016,5,3,1700,1,1,1,1,6,95,,M,48.56148,-1.75432,350,3,82,,,2,2,7,345,0,0,1,0,53,1,0,1,3,5/3/2016,17:00,5/3/2016,1,3,2,1,1
2.015E+11,2015,4,6,1615,1,2,1,1,6,361,BOULEVARD SULLY 3,M,49.00744,1.69722,780,4,0,,,2,2,,,0,1,2,0,80,1,0,1,99,4/6/2015,16:15,4/6/2015,1,3,2,1,1
2.016E+11,2016,6,15,609,2,1,1,2,6,646,RN12,,nan,nan,780,2,12,,,1,3,24,648,0,1,3,15,105,2,0,1,99,6/15/2016,6:09,6/15/2016,3,3,1,1,1
2.015E+11,2015,11,18,1945,3,1,1,1,6,184,,M,0,0,310,3,57,,,2,2,13,75,0,0,1,0,60,1,0,1,0,11/18/2015,19:45,11/18/2015,1,3,2,1,1
2.015E+11,2015,11,22,2030,5,2,4,4,6,409,"11600, Grand Canal ( che",R,20.95567,55.68764,974,4,,,,,,,,,,,,,,,,,11/22/2015,20:30,11/22/2015,2,2,1,0,0
2.015E+11,2015,9,3,1330,1,2,1,1,1,55,"00, BONNETERIE (RUE)",M,43.29687,5.37166,130,4,0,,,1,1,,,0,1,1,0,0,1,0,1,99,9/3/2015,13:30,9/3/2015,1,2,3,0,0
2.016E+11,2016,9,2,825,1,2,1,1,3,68,ALMA (AV DE L),,nan,nan,940,3,0,,,2,2,,,0,1,1,0,84,1,0,1,0,9/2/2016,8:25,9/2/2016,1,2,2,0,0
2.014E+11,2014,4,18,1625,1,1,1,1,4,71,A7-Sens Marseille vers L,,nan,nan,130,1,7,,,1,3,265,0,0,1,1,15,105,1,1,1,0,4/18/2014,16:25,4/18/2014,1,3,4,1,1
2.015E+11,2015,8,20,750,1,2,1,2,4,112,PORTE DOREE,,nan,nan,750,4,0,,,1,4,33,0,0,1,1,15,140,2,0,1,0,8/20/2015,7:50,8/20/2015,1,2,3,0,0
2.015E+11,2015,12,6,2115,5,2,0,1,2,29,"80, STALINGRAD (DE)",M,0,0,930,2,,,,1,2,,,0,1,1,0,60,1,0,1,0,12/6/2015,21:15,12/6/2015,1,3,3,2,1
2.014E+11,2014,2,3,1640,1,2,1,1,6,66,ELUARD PAUL NR 2 A 36 ET,,nan,nan,930,2,,,,2,0,0,1,0,2,1,0,0,0,0,1,3,2/3/2014,16:40,2/3/2014,1,3,2,1,1
2.014E+11,2014,3,7,720,1,2,1,1,3,540,"136, R SAINT HILAIRE",M,49.44234,1.10705,760,4,0,,,1,1,,,0,1,1,0,0,1,0,5,0,3/7/2014,7:20,3/7/2014,1,3,2,1,1
2.016E+11,2016,3,15,1715,1,2,1,1,1,36,"0, AGNETTES (RUE DES) (2",,nan,nan,920,4,0,,,2,2,,,0,1,1,0,50,1,0,1,99,3/15/2016,17:15,3/15/2016,1,2,3,0,0
2.013E+11,2013,3,16,1240,1,2,2,1,6,63,RUE CALVE,,nan,nan,330,4,0,,,1,1,,,0,1,1,0,0,1,0,1,0,3/16/2013,12:40,3/16/2013,1,2,2,0,0
2.013E+11,2013,5,8,2030,2,2,1,1,3,262,RD 6009 NARBONNE - PERPI,,nan,nan,110,3,6009,,,2,2,16,0,0,1,1,0,0,1,0,1,99,5/8/2013,20:30,5/8/2013,2,2,1,0,0
